id,name,category,addr,latitude,longitude
235,만족오향족발 시청점,한식,서울 중구 서소문로 134-7,37.5632597,126.976034
236,카페하이웨스트 익선점,카페,서울특별시 종로구 돈화문로11다길 18,37.5731479,126.9906838
237,타마,일식,서울특별시 영등포구 은행로 30,37.5282421,126.9227246
238,오늘그대와 익선,양식,서울 종로구 수표로28길 21-11,37.5733855,126.9897142
239,화목순대국,한식,서울 영등포구 여의대방로 383,37.5193464,126.9315136
240,트라가 강남역점,양식,서울 서초구 강남대로55길 24,37.4956799,127.0255713
241,고가빈커리하우스,기타,서울 종로구 경희궁2길 7,37.5728814,126.9709645
242,차만다,양식,서울 송파구 오금로16길 4-15,37.5112279,127.1083249
243,영동장어,한식,서울 강남구 언주로148길 8,37.5203144,127.0353321
244,남영돈,한식,서울 용산구 한강대로80길 17,37.5427549,126.9737787
245,루위,중식,서울특별시 강남구 도산대로 211,37.5206378,127.0297195
246,조조칼국수 성수점,한식,서울 성동구 성수일로8길 55,37.5452417,127.0566864
247,아웃백스테이크하우스 잠실점,기타,서울특별시 송파구 송파대로 466,37.5078971,127.1052356
248,테이스팅룸 IFC몰,양식,서울특별시 영등포구 국제금융로 10,37.5255723,126.9266142
249,남영동양문 합정점,한식,서울 마포구 월드컵로 43,37.5531585,126.9117469
250,연남동 베르데,기타,서울 마포구 동교로 262-6,37.5628313,126.9254121
251,미미옥 신용산점,한식,서울 용산구 한강대로15길 27,37.526278,126.9630051
252,금성관나주곰탕 구로직영점,한식,서울 구로구 디지털로32길 92,37.4826785,126.8999034
253,서울신라호텔 패스트리부티크,카페,서울 중구 동호로 249,37.5558806,127.0051533
254,피오니,카페,서울특별시 마포구 독막로7길 51,37.5500912,126.9197782
255,제일곱창 본점,한식,서울 성동구 고산자로 281,37.5648198,127.0359945
256,청와옥 을지로3가직영점,한식,서울 중구 을지로 110,37.5660221,126.9900712
257,오제제 광화문,일식,서울 중구 세종대로 136,37.5684246,126.9782701
258,진저베어,카페,서울 송파구 백제고분로41길 43-7,37.5090999,127.1054074
259,합정광안리 본점,한식,서울특별시 마포구 독막로3길 38,37.5498399,126.9175751
260,살롱순라,양식,서울 종로구 율곡로10길 75,37.5741694,126.9916905
261,스타벅스 경동1960점,카페,서울 동대문구 고산자로36길 3,37.5790378,127.0391429
262,육몽 홍대본점,한식,서울 마포구 양화로16길 19,37.5532227,126.9207108
263,신토불이 떡볶이 본점,한식,서울 광진구 자양로43길 42,37.5525565,127.090463
264,청수당 베이커리,카페,서울특별시 종로구 돈화문로11나길 31-9,37.5738865,126.9897856
265,바통,양식,서울특별시 용산구 한강대로15길 33,37.5264866,126.9626329
266,Korea Bistro Beef 유케집 성곽길점,한식,서울 강남구 압구정로54길 6,37.5275281,127.0395198
267,바빌리안테이블,양식,서울 강남구 압구정로46길 5-2,37.5280409,127.0368818
268,칸다소바 롯데월드몰점,일식,서울 송파구 올림픽로 300,37.5125702,127.1025625
269,하이라인,카페,서울특별시 성동구 성덕정9길 10,37.5390017,127.0498859
270,라 스위스,양식,서울특별시 종로구 자하문로6길 11-7,37.5784689,126.9725527
271,팀호완 삼성점,중식,서울 강남구 봉은사로86길 30,37.511455,127.0568921
272,우동 카덴,일식,서울특별시 마포구 양화로7안길 2-1,37.5516895,126.9150549
273,고든램지버거 롯데월드몰점,패스트푸드,서울 송파구 올림픽로 300,37.5125702,127.1025625
274,랜디스도넛 연남점,양식,서울 마포구 동교로 247,37.5620428,126.9241774
275,은주정,한식,서울 중구 창경궁로8길 32,37.5686832,126.9997668
276,하이디라오 건대지점,중식,서울 광진구 능동로 110,37.540661,127.0714121
277,삼해집 종로점,한식,서울 종로구 수표로20길 16-15,37.5699368,126.9909776
278,현명식탁,양식,서울 서대문구 명물길 32,37.5580757,126.9384406
279,카멜커피 더현대 서울,카페,서울 영등포구 여의대로 108,37.5266691,126.9271941
280,행2PM8PM,양식,서울 중구 수표로12길 10,37.5640079,126.9907564
281,해목 논현점,일식,서울 강남구 선릉로145길 14,37.5215365,127.0383111
282,짝귀,한식,서울 강서구 마곡중앙8로5길 11,37.5619101,126.8370984
283,삼다코지,카페,서울특별시 마포구 독막로9길 34,37.5497271,126.9205227
284,팻어케이크,카페,서울 송파구 백제고분로45길 9,37.5093302,127.1102114
285,용산회집,한식,서울특별시 용산구 한강대로42길 5,37.5308392,126.9700659
286,고우가 여의도점,한식,서울 영등포구 여의대로 24,37.5221784,126.919944
287,산청숯불가든 을지로,한식,서울 중구 을지로 114-6,37.5658389,126.9906186
288,노티드월드 (잠실 롯데월드몰),카페,서울 송파구 올림픽로 300,37.5125702,127.1025625
289,코코로카라,카페,서울 마포구 연남로1길 41,37.5598025,126.9209445
290,프릳츠 도화점,카페,서울 마포구 새창로2길 17,37.5410231,126.9490762
291,오마카세 오사이초밥 서울대점,일식,서울 관악구 관악로14길 87,37.4782252,126.9573376
292,소보키 강남점,기타,서울특별시 강남구 봉은사로18길 80,37.5015609,127.0274026
293,베통 성수,카페,서울 성동구 연무장7가길 8,37.5429356,127.0552214
294,숙성부심,한식,서울특별시 광진구 능동로 271-1,37.5543815,127.0776607
295,진대감 교대점,한식,서울 서초구 서초대로50길 62-9,37.4903519,127.0131196
296,고베규카츠 건대점,양식,서울 광진구 아차산로33길 64,37.5429844,127.0711923
297,쎈느Scene,카페,서울 성동구 연무장5길 20,37.5448952,127.0534542
298,태극당,카페,서울 중구 동호로24길 7,37.5595273,127.0050926
299,공차 노량진학원가점,카페,서울 동작구 노량진로16길 16,37.5128171,126.9434811
300,웰하우스,카페,서울특별시 송파구 오금로16길 10,37.5108123,127.1087519
301,모모키친,일식,서울 마포구 동교로34길 3,37.5610692,126.9245592
302,딤딤섬 롯데월드몰점,중식,서울 송파구 올림픽로 300,37.5125702,127.1025625
303,몽주막,기타,서울 마포구 독막로9길 12,37.5488357,126.9198524
